C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-14 15:36:31.184773: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-14 15:36:31.185048: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-14 15:36:35.181675: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-14 15:36:35.185161: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-14 15:36:35.185413: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-14 15:36:35.193431: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-14 15:36:35.193875: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-14 15:36:35.194548: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-14 15:36:35.195464: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 21700 : 54, epsilon: 0.8049290959514294, 보상 합:55
에피소드 21800 : 123, epsilon: 0.8041245651652585, 보상 합:124
에피소드 21900 : 43, epsilon: 0.8033208385117614, 보상 합:44
에피소드 22000 : 44, epsilon: 0.8025179151872026, 보상 합:45
에피소드 22100 : 111, epsilon: 0.8017157943886519, 보상 합:112
에피소드 22200 : 49, epsilon: 0.8009144753139792, 보상 합:50
에피소드 22300 : 47, epsilon: 0.800113957161858, 보상 합:48
에피소드 22400 : 84, epsilon: 0.7993142391317618, 보상 합:85
에피소드 22500 : 42, epsilon: 0.7985153204239644, 보상 합:43
에피소드 22600 : 40, epsilon: 0.7977172002395393, 보상 합:41
에피소드 22700 : 47, epsilon: 0.7969198777803574, 보상 합:48
에피소드 22800 : 69, epsilon: 0.7961233522490894, 보상 합:70
에피소드 22900 : 45, epsilon: 0.7953276228492014, 보상 합:46
에피소드 23000 : 109, epsilon: 0.794532688784956, 보상 합:110
에피소드 23100 : 90, epsilon: 0.7937385492614104, 보상 합:91
에피소드 23200 : 48, epsilon: 0.7929452034844184, 보상 합:49
에피소드 23300 : 89, epsilon: 0.7921526506606257, 보상 합:90
에피소드 23400 : 117, epsilon: 0.7913608899974712, 보상 합:118
에피소드 23500 : 365, epsilon: 0.7905699207031859, 보상 합:366
에피소드 23600 : 44, epsilon: 0.7897797419867935, 보상 합:45
에피소드 23700 : 52, epsilon: 0.7889903530581059, 보상 합:53
에피소드 23800 : 45, epsilon: 0.7882017531277271, 보상 합:46
에피소드 23900 : 151, epsilon: 0.7874139414070492, 보상 합:152
에피소드 24000 : 51, epsilon: 0.7866269171082529, 보상 합:52
에피소드 24100 : 146, epsilon: 0.7858406794443056, 보상 합:147
에피소드 24200 : 85, epsilon: 0.785055227628962, 보상 합:86
에피소드 24300 : 133, epsilon: 0.7842705608767616, 보상 합:134
에피소드 24400 : 90, epsilon: 0.78348667840303, 보상 합:91
에피소드 24500 : 112, epsilon: 0.7827035794238771, 보상 합:113
에피소드 24600 : 227, epsilon: 0.7819212631561961, 보상 합:228
에피소드 24700 : 54, epsilon: 0.7811397288176628, 보상 합:55
에피소드 24800 : 43, epsilon: 0.7803589756267352, 보상 합:44
에피소드 24900 : 114, epsilon: 0.7795790028026514, 보상 합:115
에피소드 25000 : 45, epsilon: 0.7787998095654318, 보상 합:46
에피소드 25100 : 109, epsilon: 0.7780213951358744, 보상 합:110
에피소드 25200 : 74, epsilon: 0.7772437587355572, 보상 합:75
에피소드 25300 : 246, epsilon: 0.7764668995868357, 보상 합:247
에피소드 25400 : 86, epsilon: 0.7756908169128434, 보상 합:87
에피소드 25500 : 84, epsilon: 0.7749155099374893, 보상 합:85
에피소드 25600 : 49, epsilon: 0.7741409778854593, 보상 합:50
에피소드 25700 : 41, epsilon: 0.7733672199822132, 보상 합:42
에피소드 25800 : 51, epsilon: 0.7725942354539854, 보상 합:52
에피소드 25900 : 84, epsilon: 0.771822023527783, 보상 합:85
에피소드 26000 : 84, epsilon: 0.771050583431387, 보상 합:85
에피소드 26100 : 118, epsilon: 0.7702799143933489, 보상 합:119
에피소드 26200 : 150, epsilon: 0.7695100156429925, 보상 합:151
에피소드 26300 : 159, epsilon: 0.7687408864104114, 보상 합:160
